epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
382,3182.68,1.36369,1.43874,1.38122,1.25202,0.7474,0.4227,0.54508,0.36729,0.75086,0.42465,0.54821,0.33894,1.13497,1.31745,1.23892,1.31246,0.00811405,0.00811405,0.00811405
383,3190.93,1.34428,1.41285,1.364,1.2648,0.71708,0.4227,0.55199,0.37273,0.71753,0.42074,0.54929,0.34255,1.14781,1.28943,1.23535,1.31095,0.0081091,0.0081091,0.0081091
384,3199.26,1.3213,1.39104,1.35756,1.22997,0.61149,0.51272,0.57672,0.39267,0.60916,0.51076,0.57513,0.35281,1.14079,1.2774,1.22528,1.31385,0.00810415,0.00810415,0.00810415
385,3207.69,1.34243,1.43379,1.35297,1.25751,0.5966,0.49491,0.57541,0.37819,0.59424,0.49295,0.57089,0.3497,1.16046,1.27526,1.24771,1.3179,0.0080992,0.0080992,0.0080992
386,3215.92,1.31671,1.39368,1.33641,1.22516,0.64125,0.45793,0.5605,0.37438,0.64479,0.4547,0.55497,0.34173,1.12321,1.26621,1.24833,1.30683,0.00809425,0.00809425,0.00809425
387,3224.36,1.31361,1.41527,1.31915,1.23103,0.65312,0.46771,0.55807,0.38369,0.6404,0.46351,0.55238,0.33829,1.13574,1.28548,1.21921,1.31367,0.0080893,0.0080893,0.0080893
388,3232.85,1.35508,1.39941,1.36127,1.23575,0.63468,0.47945,0.56087,0.37813,0.62677,0.49119,0.55777,0.33604,1.13003,1.28303,1.23376,1.30778,0.00808435,0.00808435,0.00808435
389,3241,1.33016,1.4177,1.35585,1.24131,0.65366,0.46184,0.56554,0.39797,0.64108,0.46184,0.56153,0.3509,1.12348,1.28852,1.2367,1.30395,0.0080794,0.0080794,0.0080794
390,3249.45,1.34371,1.43007,1.36755,1.26996,0.63785,0.46967,0.56204,0.37982,0.61763,0.46184,0.5524,0.3347,1.12086,1.31409,1.24603,1.30393,0.00807445,0.00807445,0.00807445
391,3257.73,1.33291,1.43187,1.35138,1.22505,0.68756,0.44357,0.55833,0.39701,0.66969,0.43836,0.54788,0.34863,1.13132,1.30971,1.22882,1.30829,0.0080695,0.0080695,0.0080695
392,3265.8,1.30611,1.41779,1.36024,1.27643,0.66687,0.46967,0.55986,0.38112,0.64932,0.46967,0.55303,0.34629,1.12104,1.30589,1.2255,1.30815,0.00806455,0.00806455,0.00806455
393,3273.98,1.35831,1.47071,1.40942,1.26448,0.63904,0.48141,0.56919,0.37799,0.66964,0.45988,0.5634,0.33844,1.16591,1.28993,1.20326,1.31619,0.0080596,0.0080596,0.0080596
394,3282.35,1.31309,1.39119,1.32017,1.22907,0.70497,0.44618,0.56657,0.37046,0.69804,0.43883,0.55738,0.35504,1.19619,1.27398,1.24177,1.32751,0.00805465,0.00805465,0.00805465
395,3290.55,1.27216,1.36384,1.32187,1.2388,0.68519,0.43836,0.56327,0.37767,0.71199,0.42661,0.55481,0.33841,1.14082,1.27934,1.23837,1.30545,0.0080497,0.0080497,0.0080497
396,3298.82,1.34878,1.42026,1.38538,1.24842,0.56721,0.48217,0.55472,0.36711,0.74008,0.3953,0.54648,0.34007,1.11491,1.29102,1.26748,1.29707,0.00804475,0.00804475,0.00804475
397,3307.04,1.296,1.45344,1.33637,1.24359,0.69055,0.44106,0.55738,0.37475,0.68748,0.4391,0.56005,0.33805,1.14209,1.2647,1.22648,1.3064,0.0080398,0.0080398,0.0080398
398,3315.16,1.30207,1.42776,1.32443,1.23376,0.71198,0.44506,0.55467,0.38475,0.71113,0.44618,0.56031,0.34429,1.14606,1.27336,1.22599,1.30607,0.00803485,0.00803485,0.00803485
399,3323.45,1.32624,1.43739,1.36912,1.24743,0.68355,0.4523,0.55158,0.38906,0.68371,0.46109,0.55501,0.34687,1.16386,1.30433,1.23513,1.3235,0.0080299,0.0080299,0.0080299
400,3331.6,1.33052,1.45158,1.36679,1.22473,0.71216,0.4364,0.55468,0.38706,0.68935,0.43249,0.55426,0.35437,1.15785,1.29072,1.21547,1.32291,0.00802495,0.00802495,0.00802495
401,3339.8,1.26875,1.35661,1.30625,1.2317,0.65593,0.47162,0.56219,0.385,0.68392,0.45308,0.56514,0.33753,1.10349,1.32553,1.18632,1.29467,0.00802,0.00802,0.00802
402,3348.1,1.34377,1.42738,1.38594,1.24859,0.72626,0.44814,0.56274,0.38321,0.72626,0.44814,0.55793,0.33977,1.10827,1.30655,1.20591,1.29559,0.00801505,0.00801505,0.00801505
403,3356.24,1.31276,1.36871,1.38811,1.27145,0.65999,0.47162,0.56493,0.39248,0.63844,0.4638,0.55471,0.34757,1.1237,1.2564,1.20232,1.2964,0.0080101,0.0080101,0.0080101
404,3364.51,1.31556,1.3869,1.33176,1.22034,0.7347,0.42272,0.55773,0.39847,0.70816,0.4227,0.55277,0.3494,1.12012,1.24714,1.23429,1.30069,0.00800515,0.00800515,0.00800515
405,3372.79,1.28079,1.38937,1.32128,1.24122,0.6868,0.44618,0.55737,0.39378,0.68077,0.44227,0.55517,0.35421,1.12618,1.25626,1.2429,1.30598,0.0080002,0.0080002,0.0080002
406,3381,1.31251,1.39761,1.37386,1.24909,0.6448,0.45988,0.56274,0.4032,0.64202,0.45976,0.56193,0.3518,1.11039,1.28583,1.19414,1.29741,0.00799525,0.00799525,0.00799525
407,3389.46,1.35329,1.42505,1.37996,1.27702,0.69059,0.47173,0.57163,0.39902,0.68228,0.46647,0.56602,0.36158,1.13135,1.29041,1.21914,1.3105,0.0079903,0.0079903,0.0079903
408,3397.97,1.29829,1.42901,1.34407,1.24711,0.66411,0.4638,0.56957,0.38997,0.6529,0.45597,0.55954,0.34631,1.15137,1.31149,1.20906,1.30632,0.00798535,0.00798535,0.00798535
409,3406.46,1.29177,1.40055,1.31408,1.23035,0.56388,0.49706,0.55974,0.39389,0.61439,0.45988,0.55224,0.34185,1.14994,1.32828,1.29038,1.31133,0.0079804,0.0079804,0.0079804
410,3415.09,1.37102,1.45859,1.3872,1.25766,0.71193,0.42466,0.54319,0.387,0.69998,0.41683,0.53625,0.33998,1.14112,1.32811,1.35106,1.31643,0.00797545,0.00797545,0.00797545
411,3423.43,1.39174,1.49439,1.41428,1.26864,0.6017,0.47162,0.54675,0.37742,0.61409,0.45988,0.54567,0.33484,1.13627,1.30717,1.29972,1.31921,0.0079705,0.0079705,0.0079705
412,3431.65,1.29199,1.38339,1.29885,1.2145,0.65529,0.45013,0.56822,0.40812,0.66121,0.44303,0.55477,0.35391,1.12469,1.29488,1.18778,1.31205,0.00796555,0.00796555,0.00796555
413,3440,1.33776,1.38149,1.35129,1.23313,0.67787,0.44814,0.56486,0.40141,0.68143,0.44031,0.5601,0.35297,1.12564,1.2857,1.19779,1.31037,0.0079606,0.0079606,0.0079606
414,3448.28,1.36477,1.44456,1.38177,1.26136,0.6752,0.46575,0.56575,0.39878,0.66101,0.45597,0.55687,0.35323,1.13147,1.26775,1.21107,1.3084,0.00795565,0.00795565,0.00795565
415,3456.73,1.34337,1.40948,1.38208,1.24478,0.62223,0.48028,0.55535,0.39971,0.61463,0.47441,0.54879,0.35212,1.12941,1.27704,1.21763,1.30305,0.0079507,0.0079507,0.0079507
416,3465.02,1.25978,1.29538,1.27159,1.21673,0.65233,0.46264,0.56,0.39398,0.64701,0.45913,0.55621,0.35687,1.13273,1.25966,1.23364,1.31126,0.00794575,0.00794575,0.00794575
417,3473.34,1.33338,1.4134,1.34736,1.2406,0.72096,0.40313,0.54481,0.38696,0.68887,0.41163,0.54941,0.34958,1.09787,1.25794,1.20806,1.29101,0.0079408,0.0079408,0.0079408
418,3481.76,1.3337,1.40937,1.38974,1.24619,0.58227,0.47162,0.55405,0.39265,0.64304,0.45597,0.55423,0.35408,1.09939,1.28401,1.20606,1.28907,0.00793585,0.00793585,0.00793585
419,3489.99,1.30061,1.40891,1.32372,1.25009,0.67316,0.45401,0.558,0.38919,0.67026,0.45205,0.5585,0.34849,1.10968,1.28517,1.21035,1.29243,0.0079309,0.0079309,0.0079309
420,3498.18,1.26303,1.34276,1.3067,1.23729,0.70558,0.45493,0.55829,0.38328,0.63724,0.45793,0.56127,0.33956,1.14025,1.29842,1.21802,1.31244,0.00792595,0.00792595,0.00792595
421,3506.29,1.30891,1.39823,1.35502,1.23993,0.66992,0.44618,0.55609,0.38282,0.74351,0.4227,0.56174,0.34382,1.13695,1.26716,1.22367,1.30965,0.007921,0.007921,0.007921
422,3514.67,1.36336,1.45416,1.38401,1.24201,0.67971,0.44423,0.56451,0.39248,0.67671,0.44227,0.56145,0.35129,1.11799,1.24581,1.23823,1.30467,0.00791605,0.00791605,0.00791605
423,3522.99,1.32536,1.39822,1.33475,1.21199,0.68574,0.44227,0.55656,0.38603,0.67068,0.44227,0.5578,0.34018,1.11472,1.27573,1.22145,1.30047,0.0079111,0.0079111,0.0079111
424,3531.17,1.30598,1.35219,1.35393,1.24453,0.7455,0.41683,0.55186,0.38491,0.7396,0.41487,0.555,0.34434,1.1434,1.28733,1.25827,1.31447,0.00790615,0.00790615,0.00790615
425,3539.52,1.32346,1.4107,1.36541,1.23076,0.62137,0.48728,0.55879,0.38604,0.60683,0.49119,0.56046,0.34231,1.1445,1.28534,1.2906,1.32083,0.0079012,0.0079012,0.0079012
426,3547.84,1.36498,1.45418,1.38379,1.25652,0.727,0.41096,0.55142,0.39162,0.73112,0.40972,0.55347,0.34804,1.15957,1.29711,1.27473,1.30966,0.00789625,0.00789625,0.00789625
427,3556.02,1.22969,1.34535,1.27306,1.18035,0.6776,0.43836,0.54841,0.37234,0.66852,0.43249,0.54536,0.34073,1.13149,1.27646,1.20983,1.29039,0.0078913,0.0078913,0.0078913
428,3564.27,1.37236,1.44855,1.40407,1.26267,0.69102,0.44203,0.54588,0.38009,0.6849,0.43812,0.54498,0.34451,1.15765,1.27509,1.25734,1.31123,0.00788635,0.00788635,0.00788635
429,3572.58,1.30116,1.38292,1.33849,1.22345,0.69693,0.42857,0.55854,0.401,0.69276,0.42802,0.55678,0.35331,1.1352,1.29566,1.20167,1.30305,0.0078814,0.0078814,0.0078814
430,3580.95,1.39896,1.43869,1.39532,1.26654,0.65783,0.4501,0.55967,0.39882,0.6491,0.45205,0.5537,0.35585,1.13659,1.26541,1.21242,1.31301,0.00787645,0.00787645,0.00787645
431,3589.12,1.34375,1.4355,1.37554,1.2517,0.6684,0.4638,0.56457,0.38406,0.66276,0.45988,0.55515,0.33973,1.14395,1.27003,1.16931,1.30976,0.0078715,0.0078715,0.0078715
432,3597.34,1.31318,1.38732,1.3689,1.26599,0.72434,0.42074,0.55852,0.40352,0.63873,0.4364,0.55007,0.3417,1.13822,1.27937,1.20769,1.30724,0.00786655,0.00786655,0.00786655
433,3605.41,1.27801,1.36766,1.32284,1.25046,0.75267,0.41487,0.56527,0.39152,0.74912,0.41292,0.55678,0.34255,1.14584,1.26585,1.18172,1.30887,0.0078616,0.0078616,0.0078616
434,3613.64,1.30277,1.38843,1.35974,1.23328,0.68444,0.43444,0.55668,0.37676,0.68135,0.43249,0.55463,0.34224,1.17541,1.26812,1.25413,1.32861,0.00785665,0.00785665,0.00785665
435,3621.93,1.36545,1.46385,1.37942,1.2595,0.65818,0.48141,0.56649,0.38642,0.65015,0.47554,0.55942,0.34342,1.19127,1.26559,1.26919,1.32536,0.0078517,0.0078517,0.0078517
436,3630.14,1.35458,1.44397,1.38055,1.26603,0.70843,0.45171,0.56801,0.37847,0.66584,0.45988,0.56717,0.35352,1.12905,1.25256,1.20735,1.2995,0.00784675,0.00784675,0.00784675
437,3638.29,1.36407,1.44602,1.39121,1.25872,0.58964,0.48645,0.56424,0.38597,0.59056,0.48924,0.56111,0.34635,1.12777,1.27369,1.21509,1.3074,0.0078418,0.0078418,0.0078418
438,3646.52,1.33824,1.41788,1.3717,1.25079,0.58995,0.49511,0.56441,0.39586,0.5839,0.49119,0.55811,0.35304,1.08552,1.28026,1.18488,1.2887,0.00783685,0.00783685,0.00783685
439,3654.63,1.28011,1.36318,1.33933,1.22201,0.59648,0.49176,0.56311,0.39383,0.58698,0.48393,0.55962,0.34718,1.10411,1.26639,1.1886,1.29989,0.0078319,0.0078319,0.0078319
440,3662.76,1.35607,1.45857,1.4117,1.27696,0.61289,0.48532,0.56526,0.39218,0.65482,0.46404,0.5619,0.35693,1.11288,1.26985,1.22613,1.30352,0.00782695,0.00782695,0.00782695
441,3671.13,1.31261,1.39659,1.34185,1.22871,0.63478,0.47162,0.56301,0.40194,0.63975,0.46575,0.5598,0.34132,1.0884,1.28099,1.19194,1.28633,0.007822,0.007822,0.007822
442,3679.39,1.36485,1.41375,1.38947,1.24984,0.64808,0.4638,0.56721,0.40059,0.62513,0.47646,0.56635,0.35269,1.11061,1.27668,1.16437,1.29721,0.00781705,0.00781705,0.00781705
443,3687.55,1.30849,1.37198,1.33601,1.22919,0.65548,0.46184,0.56287,0.39189,0.66449,0.45988,0.56122,0.35317,1.12777,1.26275,1.17379,1.30296,0.0078121,0.0078121,0.0078121
444,3695.74,1.30371,1.40864,1.35304,1.22844,0.6792,0.46184,0.56398,0.3943,0.69341,0.45597,0.56271,0.35107,1.1337,1.27015,1.19756,1.30556,0.00780715,0.00780715,0.00780715
445,3704.05,1.31662,1.37618,1.31953,1.21434,0.71761,0.43249,0.56629,0.39981,0.70636,0.4227,0.5611,0.35257,1.12378,1.27357,1.18503,1.30559,0.0078022,0.0078022,0.0078022
446,3712.28,1.30703,1.41573,1.33677,1.2251,0.63536,0.4638,0.5686,0.39234,0.62936,0.45857,0.5658,0.34428,1.15597,1.28125,1.22757,1.31191,0.00779725,0.00779725,0.00779725
447,3720.44,1.30982,1.4329,1.3454,1.24603,0.57111,0.50489,0.56947,0.39469,0.71982,0.4227,0.56678,0.32891,1.11603,1.29807,1.19311,1.2961,0.0077923,0.0077923,0.0077923
448,3728.58,1.27683,1.33257,1.30663,1.21312,0.60988,0.49119,0.56392,0.38655,0.65389,0.45106,0.55648,0.34577,1.0998,1.29003,1.17392,1.29014,0.00778735,0.00778735,0.00778735
449,3736.83,1.32633,1.41269,1.36416,1.25012,0.69879,0.44031,0.56251,0.38703,0.69257,0.4364,0.56202,0.34111,1.11038,1.30458,1.18017,1.29463,0.0077824,0.0077824,0.0077824
450,3745.12,1.2745,1.38356,1.31377,1.20853,0.66117,0.45059,0.55579,0.38104,0.66411,0.45205,0.55517,0.34393,1.12368,1.28809,1.26136,1.30169,0.00777745,0.00777745,0.00777745
451,3753.32,1.32926,1.44798,1.39976,1.25374,0.66217,0.45988,0.55592,0.37672,0.67079,0.4501,0.55071,0.33753,1.16666,1.277,1.29244,1.32059,0.0077725,0.0077725,0.0077725
452,3761.46,1.2929,1.37417,1.33467,1.21669,0.65619,0.45988,0.56026,0.39196,0.66857,0.4501,0.55139,0.34793,1.16115,1.29349,1.23555,1.31609,0.00776755,0.00776755,0.00776755
453,3769.67,1.30681,1.38859,1.34634,1.22195,0.60081,0.47715,0.55791,0.4157,0.61317,0.46967,0.55889,0.35583,1.12061,1.26793,1.23958,1.30622,0.0077626,0.0077626,0.0077626
454,3777.77,1.32105,1.41338,1.35516,1.23572,0.59377,0.50685,0.56528,0.39438,0.60591,0.46636,0.56292,0.35564,1.14797,1.27669,1.23234,1.31403,0.00775765,0.00775765,0.00775765
455,3785.93,1.28083,1.34788,1.30199,1.22223,0.67112,0.46324,0.56464,0.40919,0.66531,0.4668,0.56299,0.35821,1.15872,1.28403,1.20378,1.31343,0.0077527,0.0077527,0.0077527
456,3794.05,1.32519,1.40774,1.35594,1.23553,0.64417,0.45597,0.55403,0.38687,0.56838,0.46771,0.54964,0.34127,1.15444,1.27105,1.22117,1.311,0.00774775,0.00774775,0.00774775
457,3802.24,1.30445,1.37228,1.34838,1.25526,0.60772,0.47554,0.5556,0.38154,0.59967,0.47162,0.55268,0.352,1.12312,1.26226,1.21401,1.30508,0.0077428,0.0077428,0.0077428
458,3810.41,1.29613,1.37663,1.32427,1.23607,0.62038,0.45412,0.55338,0.39066,0.61503,0.4502,0.55272,0.35055,1.11693,1.27584,1.19661,1.2957,0.00773785,0.00773785,0.00773785
459,3818.47,1.27011,1.37919,1.33635,1.24021,0.67025,0.46771,0.56727,0.40067,0.66744,0.46575,0.564,0.35328,1.11697,1.28411,1.17473,1.29493,0.0077329,0.0077329,0.0077329
460,3826.59,1.33706,1.38914,1.36408,1.25875,0.6955,0.4604,0.5663,0.40092,0.68663,0.45452,0.56088,0.35123,1.10362,1.27366,1.17995,1.2978,0.00772795,0.00772795,0.00772795
461,3834.78,1.25268,1.32888,1.28146,1.20116,0.67314,0.42661,0.54971,0.38928,0.67314,0.42661,0.54614,0.33911,1.12056,1.26098,1.23154,1.29996,0.007723,0.007723,0.007723
462,3842.93,1.33744,1.36857,1.35831,1.24382,0.5822,0.48728,0.55796,0.39288,0.56868,0.50571,0.55687,0.34459,1.11385,1.25224,1.20229,1.28691,0.00771805,0.00771805,0.00771805
463,3851.22,1.33794,1.39577,1.37264,1.26646,0.62144,0.47546,0.56555,0.40092,0.65062,0.4638,0.56475,0.35013,1.0921,1.26577,1.16277,1.27523,0.0077131,0.0077131,0.0077131
464,3859.42,1.28909,1.38082,1.30019,1.24052,0.56609,0.50294,0.56684,0.40279,0.54642,0.51076,0.56453,0.34305,1.1216,1.2712,1.1768,1.29204,0.00770815,0.00770815,0.00770815
465,3867.54,1.27873,1.37064,1.31557,1.23887,0.67879,0.46184,0.56628,0.3961,0.67298,0.45988,0.56973,0.3576,1.11044,1.25862,1.17648,1.28929,0.0077032,0.0077032,0.0077032
466,3875.72,1.29973,1.4306,1.34864,1.24173,0.69438,0.43836,0.56563,0.40336,0.6697,0.44814,0.56619,0.35445,1.08799,1.26232,1.18724,1.28739,0.00769825,0.00769825,0.00769825
467,3884.01,1.30165,1.35441,1.33448,1.22984,0.75117,0.41096,0.5636,0.40048,0.75891,0.409,0.55918,0.34808,1.11952,1.25141,1.1647,1.29215,0.0076933,0.0076933,0.0076933
468,3892.3,1.2516,1.34134,1.29336,1.21277,0.61294,0.44227,0.55473,0.38892,0.62164,0.44618,0.55329,0.34747,1.10659,1.26105,1.21061,1.29681,0.00768835,0.00768835,0.00768835
469,3900.32,1.29895,1.39732,1.3463,1.2505,0.70888,0.44423,0.56399,0.39381,0.70422,0.44423,0.55877,0.35431,1.10649,1.26816,1.20583,1.30371,0.0076834,0.0076834,0.0076834
470,3908.46,1.36645,1.43158,1.39494,1.26646,0.71693,0.42624,0.54831,0.39721,0.71034,0.42233,0.54388,0.3466,1.10534,1.29518,1.23185,1.2985,0.00767845,0.00767845,0.00767845
471,3916.66,1.3408,1.44602,1.37225,1.24499,0.65583,0.4638,0.5652,0.3971,0.64476,0.45597,0.55567,0.3486,1.07763,1.28755,1.18035,1.28392,0.0076735,0.0076735,0.0076735
472,3924.98,1.35357,1.42539,1.37986,1.25997,0.63514,0.48141,0.57012,0.40499,0.63473,0.47609,0.56651,0.35492,1.10124,1.2924,1.17872,1.28951,0.00766855,0.00766855,0.00766855
473,3933.2,1.3565,1.43984,1.37626,1.26259,0.65327,0.47358,0.56908,0.39245,0.65345,0.4638,0.56151,0.35214,1.11335,1.26406,1.19457,1.29302,0.0076636,0.0076636,0.0076636
474,3941.33,1.32555,1.37382,1.36366,1.25218,0.68927,0.45793,0.5666,0.39774,0.70852,0.44814,0.56423,0.36249,1.11807,1.24333,1.16987,1.29573,0.00765865,0.00765865,0.00765865
475,3949.47,1.31236,1.42227,1.33588,1.24683,0.63354,0.47945,0.56707,0.39752,0.63354,0.47945,0.56497,0.36843,1.11076,1.22365,1.14955,1.29353,0.0076537,0.0076537,0.0076537
476,3957.63,1.34074,1.41426,1.37111,1.22803,0.6626,0.46502,0.56613,0.40125,0.64697,0.47162,0.56835,0.36312,1.11417,1.22701,1.21623,1.30192,0.00764875,0.00764875,0.00764875
477,3965.98,1.35607,1.40696,1.36306,1.25161,0.59792,0.50294,0.56333,0.39622,0.60869,0.52055,0.57063,0.35613,1.11951,1.26683,1.22627,1.30425,0.0076438,0.0076438,0.0076438
478,3974.23,1.34396,1.40738,1.36375,1.25765,0.66399,0.47554,0.56709,0.39246,0.65715,0.49511,0.56533,0.34363,1.12432,1.28134,1.22303,1.30708,0.00763885,0.00763885,0.00763885
479,3982.63,1.35873,1.43804,1.37661,1.26671,0.62502,0.49119,0.58052,0.41122,0.62369,0.50272,0.58294,0.3512,1.11094,1.26853,1.19113,1.29715,0.0076339,0.0076339,0.0076339
480,3990.99,1.32109,1.42229,1.3532,1.24364,0.6301,0.49336,0.58493,0.4001,0.63587,0.49902,0.58763,0.36304,1.14546,1.26405,1.2001,1.30769,0.00762895,0.00762895,0.00762895
481,3999.06,1.32592,1.40873,1.36416,1.23676,0.65645,0.48924,0.58395,0.39249,0.64772,0.48728,0.58162,0.36191,1.15197,1.26344,1.19447,1.31694,0.007624,0.007624,0.007624
482,4007.42,1.34945,1.44502,1.38167,1.24635,0.69563,0.45988,0.57672,0.40754,0.70155,0.4638,0.57984,0.35751,1.1407,1.26126,1.19483,1.30871,0.00761905,0.00761905,0.00761905
483,4015.55,1.31819,1.39667,1.34292,1.2516,0.65196,0.47945,0.57763,0.40456,0.6486,0.48141,0.57586,0.34572,1.11434,1.26397,1.20625,1.29286,0.0076141,0.0076141,0.0076141
484,4023.6,1.372,1.49403,1.41112,1.28402,0.693,0.47709,0.57642,0.39764,0.68801,0.47471,0.57529,0.34093,1.13149,1.24797,1.21659,1.29528,0.00760915,0.00760915,0.00760915
485,4031.63,1.25069,1.31756,1.28498,1.22749,0.62709,0.48924,0.57157,0.39468,0.61454,0.47945,0.5653,0.34481,1.14403,1.25309,1.2573,1.30535,0.0076042,0.0076042,0.0076042
486,4039.74,1.31286,1.41723,1.33934,1.23692,0.6202,0.48254,0.56885,0.37707,0.61014,0.47471,0.56193,0.34188,1.14622,1.27473,1.24513,1.30995,0.00759925,0.00759925,0.00759925
487,4048.04,1.34092,1.4442,1.34796,1.23729,0.64405,0.48532,0.57294,0.38643,0.61857,0.48728,0.56357,0.34908,1.11821,1.24942,1.19534,1.28878,0.0075943,0.0075943,0.0075943
488,4056.19,1.29982,1.40231,1.33719,1.2335,0.61943,0.50685,0.57261,0.39431,0.61603,0.50294,0.56438,0.34185,1.13916,1.26726,1.21472,1.30295,0.00758935,0.00758935,0.00758935
489,4064.42,1.34839,1.43726,1.36237,1.22886,0.62507,0.49119,0.56547,0.37458,0.61762,0.48728,0.5598,0.35017,1.14826,1.28178,1.21867,1.29899,0.0075844,0.0075844,0.0075844
490,4072.51,1.26479,1.35112,1.30148,1.21812,0.67573,0.46771,0.5691,0.39229,0.66953,0.46771,0.57192,0.34954,1.13427,1.27774,1.19265,1.29841,0.00757945,0.00757945,0.00757945
491,4080.71,1.31956,1.44202,1.34192,1.24408,0.66253,0.46872,0.56873,0.39096,0.65147,0.46089,0.55631,0.34336,1.11012,1.25937,1.20101,1.29436,0.0075745,0.0075745,0.0075745
492,4088.87,1.29109,1.37355,1.34039,1.22568,0.67958,0.43995,0.55401,0.39263,0.67353,0.43604,0.55222,0.34359,1.11586,1.26448,1.21554,1.29237,0.00756955,0.00756955,0.00756955
493,4097.11,1.35763,1.46109,1.38974,1.26391,0.61497,0.45401,0.56107,0.39309,0.72131,0.41533,0.55952,0.35247,1.1208,1.28573,1.22429,1.29744,0.0075646,0.0075646,0.0075646
494,4105.28,1.32074,1.38548,1.37277,1.23689,0.68491,0.47217,0.57134,0.40046,0.67533,0.47358,0.57286,0.34523,1.12066,1.28113,1.19008,1.30193,0.00755965,0.00755965,0.00755965
495,4113.39,1.29144,1.40989,1.3205,1.21473,0.65167,0.46862,0.57406,0.40464,0.64895,0.46667,0.57024,0.35598,1.12801,1.27724,1.19283,1.30377,0.0075547,0.0075547,0.0075547
496,4121.67,1.33098,1.42,1.34606,1.22392,0.69334,0.46184,0.56807,0.39845,0.68691,0.45793,0.56923,0.34827,1.1602,1.26179,1.21515,1.31033,0.00754975,0.00754975,0.00754975
497,4129.88,1.38301,1.49558,1.40305,1.25753,0.68197,0.4658,0.56185,0.39734,0.6791,0.46384,0.56513,0.34249,1.13114,1.25966,1.22631,1.29906,0.0075448,0.0075448,0.0075448
498,4138.2,1.24753,1.33226,1.27315,1.21021,0.64582,0.45793,0.56385,0.3896,0.59458,0.49706,0.56147,0.35042,1.18352,1.2556,1.23502,1.32367,0.00753985,0.00753985,0.00753985
499,4146.29,1.27921,1.39383,1.32068,1.22977,0.63162,0.46639,0.56741,0.39324,0.62056,0.47358,0.55929,0.35215,1.15077,1.25642,1.22772,1.30729,0.0075349,0.0075349,0.0075349
500,4154.4,1.31745,1.43059,1.35445,1.22802,0.69558,0.4364,0.56032,0.39378,0.69246,0.43444,0.55705,0.35132,1.13921,1.26561,1.25974,1.30025,0.00752995,0.00752995,0.00752995
501,4162.6,1.32286,1.40329,1.35445,1.23156,0.69034,0.44423,0.563,0.40101,0.68676,0.44193,0.56371,0.34939,1.12428,1.26538,1.20734,1.29497,0.007525,0.007525,0.007525
502,4170.77,1.28993,1.3902,1.32344,1.24694,0.71097,0.43053,0.56355,0.40291,0.70451,0.42661,0.56735,0.3569,1.09032,1.26599,1.15315,1.28388,0.00752005,0.00752005,0.00752005
503,4178.85,1.28928,1.39814,1.34079,1.24735,0.76159,0.43136,0.56971,0.40595,0.7139,0.42661,0.56137,0.35323,1.07093,1.27845,1.13245,1.27219,0.0075151,0.0075151,0.0075151
504,4186.85,1.28769,1.38955,1.33613,1.21918,0.71173,0.44031,0.57435,0.41052,0.71739,0.43053,0.56651,0.36439,1.09726,1.2949,1.15439,1.28375,0.00751015,0.00751015,0.00751015
505,4195.08,1.33211,1.41092,1.35535,1.23289,0.66071,0.44227,0.56319,0.38884,0.7651,0.3952,0.55259,0.35402,1.11174,1.26727,1.1631,1.29301,0.0075052,0.0075052,0.0075052
506,4203.41,1.30116,1.36421,1.30178,1.21489,0.59219,0.45988,0.55715,0.38225,0.5881,0.45401,0.55408,0.35114,1.13291,1.2494,1.18186,1.30419,0.00750025,0.00750025,0.00750025
507,4211.7,1.32001,1.39299,1.33925,1.23219,0.76073,0.4227,0.56237,0.39832,0.75721,0.42074,0.56225,0.33856,1.12612,1.25359,1.17332,1.30281,0.0074953,0.0074953,0.0074953
508,4219.79,1.29851,1.37741,1.32409,1.2457,0.63218,0.47424,0.56397,0.40016,0.62734,0.49511,0.57272,0.33095,1.12185,1.25595,1.19387,1.29627,0.00749035,0.00749035,0.00749035
509,4227.83,1.26999,1.37094,1.31933,1.21184,0.63224,0.48141,0.57176,0.39245,0.64405,0.49119,0.57603,0.33239,1.13105,1.26201,1.19307,1.2971,0.0074854,0.0074854,0.0074854
510,4235.94,1.20432,1.30701,1.24766,1.1935,0.62566,0.4775,0.56571,0.39334,0.62445,0.48337,0.56832,0.34419,1.11561,1.27915,1.17494,1.28619,0.00748045,0.00748045,0.00748045
511,4244.3,1.35602,1.43052,1.37557,1.2574,0.64631,0.45205,0.56053,0.39733,0.65237,0.45597,0.56724,0.34877,1.10156,1.25992,1.18409,1.28092,0.0074755,0.0074755,0.0074755
512,4252.46,1.36999,1.48788,1.39056,1.26398,0.62602,0.46184,0.56271,0.40398,0.61254,0.46715,0.56351,0.35932,1.11208,1.23796,1.22617,1.28885,0.00747055,0.00747055,0.00747055
513,4260.52,1.38163,1.49051,1.41732,1.29381,0.66981,0.44461,0.57173,0.40377,0.64771,0.46575,0.57289,0.34337,1.12354,1.23969,1.21849,1.29697,0.0074656,0.0074656,0.0074656
