epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,249.662,1.67363,1.71344,1.85682,1.43414,0.63851,0.33529,0.39289,0.25624,0.62733,0.32942,0.37888,0.22843,1.50144,1.52203,1.9371,1.58817,0.00985645,0.00985645,0.00985645
31,257.994,1.61648,1.62094,1.81392,1.45077,0.64797,0.34051,0.40376,0.27862,0.71664,0.3229,0.40172,0.24951,1.37404,1.529,1.77565,1.54127,0.0098515,0.0098515,0.0098515
32,266.192,1.63411,1.71204,1.8067,1.47271,0.82993,0.30528,0.42513,0.27565,0.76033,0.31115,0.40926,0.22032,1.48211,1.57477,1.64636,1.57364,0.00984655,0.00984655,0.00984655
33,274.563,1.64861,1.66635,1.8406,1.47654,0.90762,0.29354,0.41531,0.26863,0.89125,0.28963,0.39814,0.23588,1.48554,1.6176,1.66977,1.57765,0.0098416,0.0098416,0.0098416
34,282.982,1.57926,1.67276,1.77566,1.43105,0.87969,0.28767,0.40473,0.26233,0.87068,0.28767,0.39477,0.24637,1.39728,1.53765,1.69339,1.53223,0.00983665,0.00983665,0.00983665
35,291.506,1.63547,1.67638,1.8308,1.43358,0.71559,0.32496,0.41729,0.25301,0.70445,0.32184,0.40368,0.23117,1.47536,1.5449,1.68155,1.55516,0.0098317,0.0098317,0.0098317
36,299.884,1.61153,1.68663,1.79946,1.43557,0.74205,0.32088,0.4184,0.25615,0.71137,0.32094,0.40739,0.23653,1.47037,1.52787,1.82054,1.57425,0.00982675,0.00982675,0.00982675
37,308.076,1.68274,1.74918,1.8532,1.45668,0.6052,0.35998,0.43283,0.24694,0.60678,0.35421,0.42788,0.24816,1.54057,1.53899,1.68573,1.59277,0.0098218,0.0098218,0.0098218
38,316.417,1.65117,1.68899,1.81538,1.44516,0.56765,0.39335,0.43825,0.2734,0.55918,0.38748,0.43204,0.24785,1.47558,1.48706,1.61147,1.56665,0.00981685,0.00981685,0.00981685
39,324.829,1.67371,1.73573,1.86391,1.48726,0.5819,0.38748,0.44491,0.26808,0.57326,0.36804,0.43207,0.24011,1.43848,1.53953,1.73042,1.5562,0.0098119,0.0098119,0.0098119
40,332.998,1.56485,1.59902,1.73642,1.41451,0.59003,0.34079,0.41243,0.23812,0.60069,0.33268,0.40452,0.22839,1.53198,1.59901,1.7293,1.59912,0.00980695,0.00980695,0.00980695
41,341.046,1.58803,1.68914,1.7972,1.45781,0.5943,0.35616,0.41911,0.26712,0.58015,0.34612,0.39694,0.23333,1.44916,1.60299,1.6754,1.53299,0.009802,0.009802,0.009802
42,349.113,1.59842,1.65941,1.77994,1.42192,0.56727,0.34051,0.41233,0.26309,0.57379,0.34442,0.40665,0.22402,1.41819,1.5953,1.6023,1.53768,0.00979705,0.00979705,0.00979705
43,357.325,1.59752,1.65604,1.78565,1.43377,0.76535,0.30724,0.41933,0.27989,0.6894,0.31708,0.41871,0.24122,1.3875,1.51772,1.51574,1.51311,0.0097921,0.0097921,0.0097921
44,365.545,1.65987,1.72214,1.79298,1.41741,0.67708,0.32485,0.4253,0.27813,0.62541,0.33072,0.41909,0.23866,1.39853,1.5252,1.61942,1.53556,0.00978715,0.00978715,0.00978715
45,373.846,1.59411,1.62483,1.77757,1.41127,0.63888,0.36353,0.43416,0.29094,0.63544,0.36157,0.42793,0.25464,1.36507,1.48907,1.52329,1.5296,0.0097822,0.0097822,0.0097822
46,381.98,1.59272,1.63443,1.74872,1.45367,0.66897,0.34247,0.43497,0.28871,0.65519,0.34247,0.4248,0.26835,1.38176,1.46038,1.65786,1.50724,0.00977725,0.00977725,0.00977725
47,390.43,1.6532,1.76193,1.79717,1.44651,0.55151,0.3953,0.45237,0.28975,0.61645,0.35421,0.4354,0.26211,1.38421,1.5075,1.63557,1.51526,0.0097723,0.0097723,0.0097723
48,398.801,1.58902,1.64869,1.76435,1.43193,0.60041,0.35812,0.4399,0.28615,0.61781,0.35812,0.43062,0.2535,1.35461,1.49071,1.84008,1.51086,0.00976735,0.00976735,0.00976735
49,407.098,1.65598,1.71679,1.77796,1.41576,0.68578,0.33268,0.43451,0.29185,0.69067,0.33645,0.43048,0.23838,1.39047,1.46475,1.623,1.5311,0.0097624,0.0097624,0.0097624
50,415.306,1.61418,1.64814,1.74331,1.40659,0.59583,0.36008,0.43541,0.29536,0.59628,0.36399,0.43545,0.24371,1.35048,1.47678,1.66651,1.51407,0.00975745,0.00975745,0.00975745
51,423.6,1.63083,1.75487,1.76613,1.42241,0.62361,0.36008,0.43522,0.28714,0.61561,0.35421,0.43302,0.25263,1.38222,1.49343,1.52655,1.51071,0.0097525,0.0097525,0.0097525
52,431.89,1.52146,1.5585,1.67904,1.38772,0.72625,0.31669,0.42729,0.27389,0.68059,0.3229,0.42832,0.24623,1.39871,1.51309,1.98765,1.51589,0.00974755,0.00974755,0.00974755
53,439.986,1.52808,1.63932,1.71158,1.38423,0.68426,0.35421,0.44277,0.30489,0.66,0.34638,0.43473,0.26856,1.39829,1.50001,1.61149,1.51797,0.0097426,0.0097426,0.0097426
54,448.196,1.46586,1.53198,1.61861,1.37106,0.61891,0.37182,0.44774,0.29769,0.61566,0.36986,0.43692,0.26486,1.38429,1.48393,1.54556,1.51427,0.00973765,0.00973765,0.00973765
55,456.343,1.58449,1.60777,1.72367,1.40964,0.68617,0.32946,0.43396,0.28663,0.63297,0.34834,0.43719,0.25843,1.43071,1.47338,1.60365,1.53079,0.0097327,0.0097327,0.0097327
56,464.57,1.57606,1.66454,1.7029,1.3918,0.7211,0.31371,0.42956,0.27869,0.60831,0.33659,0.42981,0.26754,1.51282,1.47148,1.61214,1.58169,0.00972775,0.00972775,0.00972775
57,472.842,1.54141,1.62505,1.65645,1.3997,0.63921,0.34671,0.42464,0.29445,0.63277,0.34394,0.4171,0.26305,1.45697,1.43075,1.56277,1.55752,0.0097228,0.0097228,0.0097228
58,481.135,1.59545,1.69619,1.75165,1.43499,0.72435,0.34051,0.452,0.29888,0.71187,0.33464,0.43997,0.24727,1.44934,1.4491,1.6671,1.55282,0.00971785,0.00971785,0.00971785
